LEI,Name
1ASU5Y9CXIY9ETFWOY26,MERRILL LYNCH SOUTH AFRICA
1DU7IM20QESYGDO4HO54,The Northwestern Mutual Life Insurance Company
1FN51LDHILXJ06W1QN20,GOOGLE IRELAND HOLDINGS UNLIMITED COMPANY
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit
1G3OSH3GLGJ7X1JC5I61,MASSACHUSETTS FINANCIAL SERVICES COMPANY
1I2P6JFFWFHRB5GISE58,"MONEYGRAM PAYMENT SYSTEMS, INC."
1IE8VN30JCEQV1H4R804,"HSBC BANK USA, NATIONAL ASSOCIATION"
1JJY8I27IN483BHQLX09,OCBC Bank (Hong Kong) Limited
1N66B6IZ3PPGHI6ZZQ73,Schroder & Co Bank AG
1P0UUG7LC1S92QTNHG39,BANCO CITIBANK S A
1QUOWSL4BB7F7HSZZ890,GUARDIANS OF NEW ZEALAND SUPERANNUATION
1V8Y6QCX6YMJ2OELII46,CREDIT SUISSE SECURITIES (USA) LLC
1VUV7VQFKUOQSJ21A208,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
1VUZZZCW0TWP6R7N3Z33,Union Savings Bank
1YTX3EVB2EG3PFFYOI09,"ELLIOTT INTERNATIONAL, L.P."
1ZU7M6R6N6PXYJ6V0C83,KYTE BROKING LIMITED
207ALC1P1YM0OVDV0K75,"Capital One, National Association"
20FULDKQMC7ZL80LYR79,JPMORGAN ASSET MANAGEMENT (UK) LIMITED
20S05OYHG0MQM4VUIC57,FORD MOTOR COMPANY
20TVKH7M13MUBGE80C53,Independent Bank
213800111ONS9Z3VA813,PHOENIX ASSET MANAGEMENT PARTNERS LIMITED
21380011ZYMBN21SZ194,CROWN AGENTS BANK LIMITED
21380013CSERQJ9M2D59,LIQUID CAPITAL MARKETS LTD
21380013V6JI2T3MOG16,HAMPSHIRE TRUST BANK PLC
21380014FWEQLXPC7N30,HARGREAVES LANSDOWN SAVINGS LIMITED
21380014PZ7YEGITOB59,MAREX FX LIMITED
21380014S3KYPM6DSP95,"Kredito unija ""Saulėgrąža"""
21380016LC6HZPCIZM52,NS ASSET MANAGEMENT UK LTD
21380016LG58XVM8XF70,INTERNATIONAL AIR TRANSPORT ASSOCIATION
213800171YARKXTJAF17,AKTIEBOLAGET STENA FINANS
21380017BQK1NEOEXR43,ACCESSBANK TANZANIA LTD
21380017Q93AYXOJGK71,CHARTERHOUSE GENERAL PARTNERS (IX) LIMITED
21380017T2YZN2UGRB97,EXCELLENCE INVESTMENTS MANAGEMENT AND SECURITIES LTD
213800181YOLRJFDJF94,SHIFT4 LIMITED
21380018AJDKNF3A6712,TESCO CORPORATE TREASURY SERVICES PLC
21380018Q5GTQD6REI36,"IBS FORWARD PAYMENT SOLUTIONS, S.A."
2138001939R54S3QAM24,PVM OIL ASSOCIATES LTD.
21380019E5B2HR23LV10,SARANAC PARTNERS LIMITED
2138001A11QZTEW6I690,UNITED FRIENDLY INSURANCE LIMITED
2138001AVBSD1HSC6Z10,JOHNSON MATTHEY PLC
2138001AX63A2G3ZG696,ALTER DOMUS AGENCY SERVICES (UK) LIMITED
2138001BB6WD5MI1QD94,CMBC CAPITAL HOLDINGS LIMITED
2138001CNF45JP5XZK38,KONE OYJ
2138001E2H4N16WY5L59,INTEROGO TREASURY AG
2138001E2ZEL8AVW7O94,AIA SINGAPORE PRIVATE LIMITED
2138001ENWGPLH6F4Y25,Columbia Threadneedle Netherlands B.V.
2138001FDSSUIS78W319,SINGER CAPITAL MARKETS ADVISORY LLP
2138001GBION41P49M96,MIRABELLA FINANCIAL SERVICES LLP
2138001GKM54HSYO4Q41,BOV ASSET MANAGEMENT LIMITED
2138001HYSJ92GY2E198,URSUS BREWERIES SA
2138001IUY9CEJUEOG31,MERITUM SECURITIES LIMITED
2138001KFZ6XIBP7AT59,"LINK SECURITIES SOCIEDAD DE VALORES, S.A."
2138001KQ9WPRIO68E47,CAIXA ECONÓMICA DO PORTO ANEXA À A BENEFICÊNCIA FAMILIAR - ASSOCIAÇÃO DE SOCORROS MÚTUOS
2138001LJHSN6ZR49821,INVESTMENT & PORTFOLIO CONSULTANTS LIMITED
